id,species,stop_id,start,end,duration,lon,lat
txn_169495,BBSA,324,11/1/2017 20:33,11/3/2017 13:59,1.726388889,-64.71471426,-13.73328578
txn_169495,BBSA,325,11/3/2017 20:10,11/8/2017 14:44,4.773611111,-64.63980034,-13.92630014
ak_172767,BBSA,302,9/8/2018 15:00,9/22/2018 21:44,14.28055556,-74.52484453,-1.96161122
txs_175227,BBSA,340,9/11/2018 14:02,10/11/2018 14:02,30,-68.07906251,-3.330487549
txs_175242,BBSA,354,9/11/2018 14:02,9/21/2018 13:58,9.997222222,-64.74495714,-13.0255143
ak_173474,BBSA,309,9/12/2018 15:00,10/6/2018 15:00,24,-73.09388182,-3.547800007
txs_175233,BBSA,346,9/13/2018 13:58,9/15/2018 14:02,2.002777778,-65.28705,-9.8516
txs_175238,BBSA,348,9/13/2018 13:58,9/17/2018 13:58,4,-77.12903337,-6.029266687
txs_175241,BBSA,352,9/13/2018 13:58,9/29/2018 14:02,16.00277778,-71.89527763,-3.405077854
txs_175226,BBSA,338,9/13/2018 14:02,9/23/2018 13:58,9.997222222,-75.10066666,-4.766566668
ak_171300,BBSA,300,9/14/2018 15:00,9/26/2018 15:00,12,-74.50740004,-5.272111192
ak_175235,BBSA,311,9/14/2018 15:00,9/16/2018 15:00,2,-66.8809,-13.6429
ak_175237,BBSA,312,9/14/2018 15:00,10/10/2018 21:38,26.27638889,-74.48478837,-5.718435317
ak_175246,BBSA,314,9/14/2018 15:00,9/22/2018 21:46,8.281944444,-78.54907143,-1.07307143
txs_175230,BBSA,344,9/15/2018 13:58,9/19/2018 13:58,4,-69.07225,-8.76745
txs_176529,BBSA,361,9/15/2018 13:58,9/23/2018 14:32,8.023611111,-74.35214923,-5.481100281
txs_175223,BBSA,334,9/17/2018 13:58,9/19/2018 13:58,2,-68.2385,-12.0284
txs_176530,BBSA,363,9/17/2018 13:58,9/23/2018 22:46,6.366666667,-66.31856674,-14.34866669
ak_172769,BBSA,305,9/18/2018 15:00,10/4/2018 15:00,16,-74.2337,1.892072729
txn_169493,BBSA,320,9/18/2018 20:48,9/27/2018 22:19,9.063194444,-76.49277785,-6.982111569
txs_175239,BBSA,349,9/19/2018 13:58,9/21/2018 13:58,2,-74.34784964,-8.57365004
txs_175240,BBSA,351,9/19/2018 13:58,9/27/2018 13:58,8,-61.13675995,-17.54886001
txs_176533,BBSA,365,9/21/2018 13:58,9/23/2018 14:02,2.002777778,-66.3176,-14.35935
txs_175233,BBSA,347,9/21/2018 14:02,9/29/2018 13:58,7.997222222,-65.00343312,-10.41836674
txs_175242,BBSA,355,9/23/2018 13:58,9/29/2018 13:58,6,-64.54570002,-13.43232001
txs_175185,BBSA,333,9/23/2018 22:45,9/29/2018 13:58,5.634027778,-67.63260001,-10.02463334
txs_175231,BBSA,345,9/25/2018 13:58,10/7/2018 13:58,12,-75.54574291,-0.784028591
