"loc_id","id","species","stop_id","lon","lat","timestamp","lc","used","pair","sim"
110,"KCL","HUGO",56,-65.2158951534835,-15.9077862885867,"2019-08-27 06:47:00","G",0,10,0
111,"KCL","HUGO",56,-65.2155228,-15.9077244,"2019-08-27 08:59:00","G",1,11,0
112,"KCL","HUGO",56,-65.2178594228814,-15.9081227534063,"2019-08-27 08:59:00","G",0,11,0
113,"KCL","HUGO",56,-65.2151656283292,-15.9073811431146,"2019-08-27 08:59:00","G",0,11,0
114,"KCL","HUGO",56,-65.2156961029858,-15.9086979764828,"2019-08-27 08:59:00","G",0,11,0
115,"KCL","HUGO",56,-65.2155473205067,-15.9073013524089,"2019-08-27 08:59:00","G",0,11,0
116,"KCL","HUGO",56,-65.217051871901,-15.9075740788213,"2019-08-27 08:59:00","G",0,11,0
117,"KCL","HUGO",56,-65.1984454161691,-15.9155927044143,"2019-08-27 08:59:00","G",0,11,0
118,"KCL","HUGO",56,-65.1765237057088,-15.9265980773121,"2019-08-27 08:59:00","G",0,11,0
119,"KCL","HUGO",56,-65.2159317390048,-15.9076934901194,"2019-08-27 08:59:00","G",0,11,0
120,"KCL","HUGO",56,-65.2139865112311,-15.9079713277729,"2019-08-27 08:59:00","G",0,11,0
121,"KCL","HUGO",56,-65.2259936037818,-15.8996542068122,"2019-08-27 08:59:00","G",0,11,0
122,"KCV","HUGO",57,-64.3229294,-15.2033148,"2019-09-12 15:45:00","G",1,12,0
123,"KCV","HUGO",57,-64.321558650308,-15.2008405069928,"2019-09-12 15:45:00","G",0,12,0
124,"KCV","HUGO",57,-64.3205016849151,-15.202802914721,"2019-09-12 15:45:00","G",0,12,0
125,"KCV","HUGO",57,-64.3146317659414,-15.2009025337387,"2019-09-12 15:45:00","G",0,12,0
126,"KCV","HUGO",57,-64.3210603371671,-15.2019921177268,"2019-09-12 15:45:00","G",0,12,0
127,"KCV","HUGO",57,-64.3219852358989,-15.2016446826659,"2019-09-12 15:45:00","G",0,12,0
128,"KCV","HUGO",57,-64.3207073691147,-15.2022779519196,"2019-09-12 15:45:00","G",0,12,0
129,"KCV","HUGO",57,-64.32804292212,-15.1984564433611,"2019-09-12 15:45:00","G",0,12,0
130,"KCV","HUGO",57,-64.3207890715921,-15.2006965078238,"2019-09-12 15:45:00","G",0,12,0
131,"KCV","HUGO",57,-64.3306299205814,-15.1771549068563,"2019-09-12 15:45:00","G",0,12,0
132,"KCV","HUGO",57,-64.326341059184,-15.1946233489259,"2019-09-12 15:45:00","G",0,12,0
133,"KCV","HUGO",57,-64.3227997,-15.2032127,"2019-09-12 18:01:00","G",1,13,0
134,"KCV","HUGO",57,-64.3229425856354,-15.2027970417634,"2019-09-12 18:01:00","G",0,13,0
135,"KCV","HUGO",57,-64.3232767683933,-15.2037377459614,"2019-09-12 18:01:00","G",0,13,0
136,"KCV","HUGO",57,-64.3229824999981,-15.202291802948,"2019-09-12 18:01:00","G",0,13,0
137,"KCV","HUGO",57,-64.32373285841,-15.2036731002352,"2019-09-12 18:01:00","G",0,13,0
