"stop_id","scale","used","forcat_prop","forest_prop","savanna_prop","wetland_prop","grassland_prop","ag_prop","pasture_prop","farming_prop","RLO_prop"
103,15,1,0.326765013817008,0.326765013817008,0,0.00917299827445779,0.073715758806091,0.478789277410951,0.0202928875905892,0.58158710277767,0.00772678573510398
198,15,1,0.0525222768319655,0.0525222768319655,0,0.804810266529067,0.114948296527918,0,0.027046837180337,0.027046837180337,0.000672322930712589
199,15,1,0.428991697575897,0.384461877678053,0.0445298198978439,0.000598148814983872,0.00165376660898949,0.50956304436462,0.0468205554282652,0.56109934777322,7.79264038594452e-05
200,15,1,0.406983093036929,0.406762983279322,0.000220109757607215,0.00066863180390288,0.00106566059632456,0.530948891935763,0.0439519946482138,0.574900886583976,0.00127981906843289
201,15,1,0.0974163742711463,0.0974163742711463,0,0.696683083499937,0.161156317269816,1.23462503290276e-05,0.0402005143380103,0.0403918812181103,0.00294240195341501
202,15,1,0.169996611530434,0.169988997886686,7.61364374712912e-06,0.137817536280717,0.123331872426044,0.00356923140251444,0.0165498421042252,0.0201190735067397,0.548734906256066
204,15,1,0.270828414628416,0.270828414628416,0,0.0013347782571796,0.109248356867853,0.563522576087347,0.0126919669133218,0.601384962884924,0.0135167251745225
205,15,1,0.0266097173909738,0.0266097173909738,0,0.51914509824257,0.321123228756361,0,0.0259977961268675,0.0259977961268675,0.107124159483229
206,15,1,0.427550296936766,0.427550296936766,0,0.00731324831150623,0.089660559502089,0.196991206106236,0.10561798242332,0.460825843425803,0.00369550938768112
207,15,1,0.335352834198877,0.335352834198877,0,0,0,0.239834369663727,0,0.65275612164445,0.00815899474970322
208,15,1,0.15967823538703,0.15967823538703,0,0.0581254988671125,0.572309195082014,0,0.0969873156846628,0.112084759457406,0.0977871891629249
209,15,1,0.00212983923933219,0.00212983923933219,0,0.00137530483605068,0.704580629561744,0,0.0988336421710486,0.281427561953988,9.13532784637848e-05
210,15,1,0.632463850915655,0.632463850915655,0,0.0436123896595466,0.204041551298291,0.00957289136375453,0.0963143137093614,0.119794984185464,8.72239410442663e-05
